Kaupunginosa,Huoneisto,Talot,m2,hinta,e/m2,Rakennusvuosi,Kerros,Hissi,Kunto,Tontti,Energialuokka,Kunta
Toijala / rautala,"2h,k,vh,wc,kph,s",rt,"60,00",115000,1917,2014,1/1,ei,hyvä,oma							,C2007,Akaa
Toijala / keskusta,"2h, k, kph, s, ...",kt,"50,00",93000,1860,1989,2/4,on,hyvä,oma							,F2013,Akaa
Toijala / rautala,"2h,kk,lasitettu...",kt,"44,00",42870,974,1968,1/4,ei,tyyd.,oma							,F2007,Akaa
Toijala / nahkiala,2h+k+kph,kt,"62,00",40000,645,1972,2/3,ei,huono,oma							,C2013,Akaa
Toijala / keskusta,2h+k,kt,"45,00",48000,1067,1968,1/2,ei, ,oma							,F2013,Akaa
Toijala / rauhanummi,2h+k,kt,"54,00",59500,1102,1969,6/6,on,tyyd.,oma							,F2013,Akaa
Toijala / nahkiala,2h+k,kt,"56,00",53500,955,1976,2/3,ei,tyyd.,oma							,D2013,Akaa
Toijala,2h+kt,kt,"48,00",163057,3397,2021,3/9,on,hyvä,oma							,B2018,Akaa
Viiala / keskusta,"2h,k,kph/wc,s,vh",rt,"54,00",103000,1907,2011,1/1,ei,hyvä,oma							,,Akaa
Toijala,3h+kt+wc+s,kt,"85,00",274625,3231,2021,6/9,on,hyvä,oma							,B2018,Akaa
Toijala / nahkiala,2h+k+kh+p,kt,"51,00",46000,902,1970,1/3,ei,hyvä,oma							,F2013,Akaa
Toijala / keskusta,"2h,k,kph,p",kt,"56,00",63000,1125,1962,3/3,ei,hyvä,oma							,F2013,Akaa
Viiala,"2h,k,kph,et,las...",kt,"56,00",49000,875,1977,2/5,on,hyvä,oma							,C2013,Akaa
Toijala / keskusta,"2h,k,s",kt,"58,00",115000,1983,2003,2/4,on,hyvä,oma							,F2013,Akaa
Toijala / keskusta,2h+k+s,kt,"52,00",65750,1264,1983,1/5,on,tyyd.,oma							,F2013,Akaa
Toijala / keskusta,"2h,k,s",kt,"56,00",110000,1964,1999,2/5,on, ,oma							,D2013,Akaa
,"2h,k,wc,et,tk,k...",ok,"64,00",65000,1016,1953, ,ei,tyyd.,oma							,,Akaa
