Kaupunginosa,Huoneisto,Talot,m2,hinta,e/m2,Rakennusvuosi,Kerros,Hissi,Kunto,Tontti,Energialuokka,Kunta
Matinkylä,"1h, kk, kph, vh...",kt,"37,00",180000,4865,2011,3/5,on,hyvä,oma,C2018,Espoo
Tapiola,"1h, kk, kph, ra...",kt,"24,90",166250,6677,1955,4/7,on,hyvä,oma,G2013,Espoo
Perkkaa,"1 h, kk, kph, a...",kt,"38,00",78000,2053,1975,4/6,on,huono,oma,F2013,Espoo
Saunalahti,"1h,kt, kph,vh, ...",kt,"27,00",118500,4389,2019,2/5,on,hyvä, ,C,Espoo
Soukka,"1h, k+alkovi",kt,"39,50",124000,3139,1970,1/8,on,tyyd.,oma,D2018,Espoo
Matinkylä,"1h, kk, kph",kt,"34,00",102000,3000,1978,2/3,ei,huono,oma,D2018,Espoo
Haukilahti,"1h, kk, kph, s,...",kt,"32,50",170000,5231,1987,2/3,on,hyvä,oma,D2018,Espoo
Karhusuo,1h+kt+ph,rt,"37,50",149000,3973,2016,1/1,ei,hyvä,vuokra,C2013,Espoo
Ymmersta,1H + KT,kt,"38,00",185000,4868,2018,6/7,on,hyvä,oma,C2013,Espoo
Kivenlahti,"1h, kk",kt,"30,00",95500,3183,1973,1/4,ei,hyvä,oma,D2007,Espoo
Lähderanta,1h+kk+kh,kt,"27,00",91000,3370,1965,2/4,ei,hyvä,oma,E2018,Espoo
Olari,"1h, k, kph, las...",kt,"39,00",112000,2872,1970,2/5,on,hyvä,oma,F2013,Espoo
Leppävaara,1h+k+kph+vh+par...,kt,"35,50",117000,3296,1963,2/4,ei,tyyd.,oma,E,Espoo
"Leppävaara, vallikallio","1h,kk,kph,parv.",kt,"34,00",160000,4706,1985,4/4,on,hyvä,oma,D2007,Espoo
Matinkylä,"1 h, kk, kh, et...",kt,"34,00",130000,3824,1984,4/6,on,tyyd.,oma,E2018,Espoo
Kivenlahti,1h+alkovi+k+kph...,kt,"38,00",145543,3830,1972,2/4,ei,tyyd.,oma,F2018,Espoo
Saunalahti,1h+kt+kph+las.p...,kt,"35,00",155000,4429,2016,3/6,on,hyvä,oma,C2013,Espoo
Leppävaara,"1h,kt,kph,lasit...",kt,"31,00",192000,6194,2021,4/6,on,hyvä,oma,B2018,Espoo
Matinkylä,"1h, kk, kph, al...",kt,"36,50",209000,5726,2013,4/6,on,hyvä,oma,C2018,Espoo
